dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	el16	el17	el18	el19	el20	el21	el22	el23	el24	el25	el26	el27	el28	el29	el30	el31	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	stat45	stat46	stat47	stat48	stat49	stat50	stat51	stat52	stat53	stat54	stat55	stat56	stat57	stat58	stat59	stat60	stat61	stat62	stat63	stat64	stat65	stat66	stat67	stat68	stat69	stat70	stat71	stat72	stat73	stat74	stat75	stat76	class
0.010471	0.029961	0.18064	0.12718	0.2827	0.2958	0.14503	0.2786	0.26223	0.26606	0.077897	0.033675	0.072458	0.17155	0.25209	0.22134	0.19466	0.19805	0.19713	0.2226	0.11765	0.057281	0.042946	0.028536	0.019244	0.027889	0.041519	0.031796	0.019709	0.017864	0.026999	0.029782	0.023556	0.2958	0.24975	0.12151	-0.12823	0.050969	0.28527	0.37199	0.48056	0.60271	0.69415	0.3125	0.20973	0.54393	0.41356	0.8797	0.015925	0.032605	0.055657	0.15413	0.16062	0.079944	0.14983	0.14053	0.14146	0.043429	0.017287	0.05482	0.091158	0.13376	0.11882	0.11052	0.10639	0.10519	0.12035	0.067619	0.03348	0.018437	0.014264	0.0067239	0.012404	0.011291	0.012076	0.0072481	0.0094964	0.022153	0.017219	0.0075599	0.20987	0.31051	0.20174	0.25226	0.13861	0.14142	-0.076296	0.10798	0.11266	0.095608	0.12412	0.12839	0.13816	0.083339	0.05833	-0.1247	0.13891	0.1407	0.1263	0.064711	0.12544	0.13372	0.11768	0.052898	0.037601	-0.034016	-0.00045059	0.020132	0.13656	-0.11034	0.13465	-0.010947	0.13839	-0.12005	0.066105	-0.080242	-0.0091439	0.026557	0.035728	0.076796	-0.049115	-0.043291	-0.034821	-0.023935	1.9957	1176
0.013681	0.11926	0.14311	0.13056	0.091017	0.10729	0.092986	0.12752	0.084484	0.11956	0.081689	0.083766	0.14434	0.21863	0.27007	0.25252	0.21072	0.38926	0.43491	0.46818	0.46374	0.3052	0.22243	0.045629	0.030374	0.027483	0.035034	0.026431	0.033881	0.026066	0.042065	0.047378	0.012848	0.46818	0.28185	0.13455	-0.1473	0.06708	0.30475	0.35634	0.41399	0.47218	0.51247	0.35156	0.24786	0.61788	0.83887	0.84294	0.051249	0.058964	0.069414	0.034946	0.056145	0.036731	0.05954	0.029836	0.055573	0.047049	0.048105	0.085106	0.12171	0.14449	0.13542	0.11419	0.20727	0.23254	0.25048	0.251	0.16213	0.11909	0.018342	0.0056285	0.0062274	0.013892	0.017447	0.0098992	0.016917	0.010849	0.025767	0.0058697	0.1778	0.28304	0.15249	0.22108	0.055115	0.091526	0.11897	-0.13561	-0.10573	-0.10731	0.035576	-0.03918	-0.10981	-0.024247	0.053702	0.030024	0.084901	0.13043	0.12753	0.11505	0.13632	0.13116	0.13043	0.11642	0.1393	0.12952	-0.024709	-0.14129	-0.14141	-0.12634	-0.12237	0.019734	0.1276	0.12048	0.11082	-0.06061	-0.012274	0.060245	-0.021066	0.12733	-0.032178	-0.027531	-0.038955	0.01083	1.8049	667.5
0.012962	0.18126	0.2072	0.19104	0.11589	0.23924	0.23243	0.11924	0.15863	0.14468	0.15569	0.24781	0.13528	0.24026	0.25792	0.16828	0.22311	0.16005	0.07804	0.08377	0.084121	0.08185	0.14061	0.035056	0.01421	0.020869	0.021156	0.0090928	0.026023	0.021785	0.027623	0.018976	0.018645	0.25792	0.24839	0.18782	-0.060572	0.048455	0.2866	0.3813	0.50225	0.64058	0.74192	0.27344	0.12641	0.62235	0.93345	0.94328	0.12187	0.16326	0.13636	0.10178	0.16116	0.14405	0.057444	0.11456	0.10165	0.10206	0.15298	0.10732	0.18246	0.1711	0.12252	0.15368	0.14401	0.058095	0.053911	0.04456	0.05282	0.074258	0.029574	0.0020533	0.0072915	0.012301	0.0016773	0.0098996	0.012022	0.010154	0.010554	0.0022801	0.23469	0.36172	0.32146	0.32011	-0.096658	-0.12937	-0.083188	-0.1396	-0.057986	-0.0085724	-0.10839	-0.087518	-0.07697	-0.10501	-0.0058482	-0.11461	-0.10363	-0.050171	-0.090413	-0.068461	-0.13424	-0.13024	-0.079696	-0.08304	-0.034698	0.067709	-0.14119	0.031295	0.13754	-0.14142	0.12083	0.0084281	-0.11986	0.042881	0.019346	0.016081	0.057894	-0.0072565	0.011348	0.051188	-0.049113	-0.053849	-0.052773	-0.046207	2.0889	667
0.0080297	0.06372	0.067197	0.0976	0.11945	0.14938	0.063565	0.15331	0.15032	0.13626	0.11373	0.13905	0.11239	0.1546	0.17657	0.18241	0.12804	0.10287	0.13691	0.077995	0.098359	0.11944	0.044037	0.043324	0.020455	0.0070597	0.016282	0.013652	0.022823	0.020686	0.012957	0.013099	0.013615	0.18241	0.16174	0.076022	-0.085716	0.046706	0.18799	0.25378	0.33903	0.43764	0.50837	0.29688	0.14493	0.80622	0.82543	0.79517	0.012471	0.019018	0.054598	0.051451	0.060909	0.033842	0.08207	0.073475	0.064067	0.064666	0.073772	0.061532	0.064683	0.065992	0.080443	0.049796	0.054634	0.073112	0.043732	0.060025	0.063363	0.027224	0.025773	0.012069	0.0041352	0.0088206	0.0037824	0.011043	0.012086	0.0063337	0.0061662	0.0074426	0.20846	0.22657	0.20288	0.21622	0.10572	-0.14136	0.072669	0.064293	0.094726	0.070317	0.082388	0.026549	0.13063	0.0633	0.11546	0.097929	-0.058107	0.11782	0.10732	0.13262	0.13962	0.13276	0.07738	0.0025487	0.14105	-0.090998	-0.0072145	-0.013225	0.035707	0.11533	-0.12046	0.10413	0.037911	0.13408	-0.14124	0.10492	0.25109	0.070286	0.26041	0.18413	0.069442	-0.0096687	0.068244	0.027379	1.898	388.5
0.0049922	0.04819	0.20554	0.11917	0.10545	0.041348	0.067	0.052702	0.02556	0.025086	0.039329	0.028394	0.013146	0.022967	0.013498	0.012054	0.015208	0.021705	0.0057526	0.016171	0.020704	0.02657	0.027696	0.037395	0.043425	0.03973	0.084491	0.042494	0.028821	0.028901	0.012162	0.032741	0.032132	0.20554	0.056773	0.029397	-0.027377	0.020414	0.077842	0.14579	0.26512	0.4261	0.40073	0.52344	0.068381	0.15714	0.16487	0.16524	0.020092	0.13508	0.042718	0.056149	0.018012	0.037972	0.011328	0.0075782	0.013174	0.0243	0.015338	0.00096946	0.0017884	0.0047163	0.0073733	0.0043064	0.0056035	0.0040733	0.005721	0.0088391	0.014226	0.008089	0.0093502	0.012612	0.018777	0.037247	0.016801	0.015947	0.0093707	0.0049617	0.0065311	0.0097985	0.12175	0.18005	0.15122	0.15331	0.11492	-0.045104	0.13938	0.13631	0.1024	-0.025398	0.0037611	-0.12877	-0.12156	0.13644	0.11872	-0.11641	-0.14132	0.10519	-0.10794	0.11041	0.052332	0.12868	-0.11111	-0.12948	0.12944	0.058555	-0.019781	-0.094709	-0.13877	0.033556	-0.053381	0.069016	0.14094	0.12909	-0.13943	-0.10658	0.6838	0.73747	0.81465	0.78621	0.41491	0.48159	0.57127	0.56649	0.80206	254.5
0.013779	0.058064	0.07499	0.084859	0.075566	0.082725	0.09005	0.088149	0.10339	0.096527	0.11588	0.16419	0.16801	0.21452	0.33209	0.34307	0.37089	0.28879	0.32153	0.21266	0.22434	0.30191	0.3153	0.095264	0.033695	0.032154	0.030544	0.019725	0.055131	0.016467	0.033063	0.046	0.022324	0.37089	0.28791	0.1772	-0.1107	0.064859	0.3134	0.37139	0.43715	0.50459	0.55295	0.26562	0.21082	0.69589	0.64084	0.75449	0.030877	0.04331	0.040732	0.018614	0.048501	0.051315	0.047499	0.05484	0.051292	0.062047	0.088547	0.097846	0.12779	0.19057	0.21036	0.23176	0.16457	0.17163	0.11307	0.13842	0.16115	0.17851	0.065404	0.018304	0.011536	0.0057962	0.0064943	0.02537	0.0065174	0.010486	0.017214	0.0063836	0.1417	0.29795	0.20308	0.235	-0.14139	0.048402	-0.13184	-0.11478	0.034896	0.061129	-0.036219	0.14119	0.13893	0.12942	0.12075	0.040809	0.021449	0.05442	-0.0009584	-0.044637	0.061101	0.13325	0.13823	-0.0054617	0.13331	0.067568	-0.098407	0.11217	0.1025	-0.086464	0.13734	-0.015362	0.064804	0.13345	-0.035818	0.086656	0.10245	0.12277	0.12681	0.21484	-0.026071	-0.029651	-0.021697	0.018439	1.9045	1583.5
0.0095956	0.026181	0.083861	0.075322	0.093818	0.081047	0.14984	0.16772	0.20015	0.19307	0.15941	0.12223	0.095795	0.13674	0.184	0.18968	0.14213	0.11238	0.15739	0.078348	0.12584	0.071576	0.097258	0.049252	0.015238	0.012729	0.010795	0.032512	0.017703	0.037375	0.030619	0.024877	0.017879	0.20015	0.1675	0.059139	-0.10836	0.041149	0.19968	0.28345	0.39741	0.53415	0.62194	0.40625	0.28156	0.9082	1.1341	1.2542	0.0071809	0.010918	0.052328	0.05373	0.044657	0.082677	0.089866	0.10647	0.11382	0.088101	0.073464	0.068001	0.11952	0.12567	0.11815	0.1001	0.078326	0.078842	0.073234	0.065153	0.045235	0.064303	0.034572	0.0029667	0.0095777	0.0049907	0.0052488	0.0073909	0.0094186	0.0067251	0.0095575	0.0088902	0.25878	0.31506	0.23315	0.27463	0.040642	-0.097331	-0.13488	0.056305	0.096029	0.094458	0.12856	0.13749	0.030128	0.092689	0.014246	-0.14048	-0.13107	-0.064593	-0.012088	-0.10358	-0.1357	0.13082	-0.14098	-0.068879	-0.039353	-0.048369	-0.12805	0.0019052	-0.14109	-0.0027301	-0.13632	0.14001	-0.066222	-0.098044	0.13937	-0.02252	0.0020239	0.0455	0.069916	0.060455	-0.044711	-0.037304	-0.027086	-0.030591	2.0443	2437.5
0.015389	0.055113	0.045357	0.096375	0.10706	0.045209	0.13585	0.09121	0.10723	0.094401	0.22077	0.22981	0.31366	0.23825	0.32687	0.38423	0.37428	0.34473	0.22171	0.20071	0.11809	0.10557	0.21796	0.040235	0.034416	0.047113	0.032777	0.024305	0.024065	0.048405	0.04399	0.0622	0.018624	0.38423	0.24629	0.14694	-0.099353	0.077562	0.2587	0.28553	0.3135	0.33935	0.35105	0.3125	0.12104	0.68693	0.55091	0.60769	0.029832	0.03156	0.020754	0.037829	0.019048	0.043185	0.024047	0.035403	0.021768	0.094823	0.093195	0.15025	0.1326	0.19829	0.26188	0.20725	0.18937	0.11886	0.068763	0.07003	0.057156	0.12693	0.030247	0.012535	0.015475	0.013267	0.011445	0.010898	0.017553	0.018869	0.015662	0.007592	0.14263	0.30197	0.21701	0.23749	0.11636	0.12497	-0.045297	0.069773	-0.14065	0.099482	0.051213	0.12483	-0.0074797	0.14086	0.12022	0.1322	0.085112	-0.0062263	-0.071692	-0.022964	0.099409	0.037403	0.061561	0.025166	0.11611	-0.068329	-0.1007	-0.13076	0.029418	0.099484	-0.12394	-0.14008	0.091897	-0.079477	0.12543	0.0018949	0.15694	0.1638	0.17504	0.24689	-0.027703	-0.031056	-0.024571	0.016015	1.7625	458
0.011532	0.095792	0.064738	0.088713	0.069102	0.022001	0.047247	0.098751	0.094735	0.095796	0.1866	0.29023	0.37246	0.41499	0.42033	0.36532	0.33084	0.25407	0.098699	0.11704	0.052685	0.036205	0.1566	0.035765	0.024607	0.043701	0.030613	0.04892	0.018833	0.014882	0.031374	0.018805	0.034899	0.42033	0.23917	0.11639	-0.12278	0.052381	0.2717	0.35048	0.44804	0.55679	0.63884	0.28125	0.17418	0.65513	0.63731	0.60097	0.05701	0.017862	0.031964	0.026184	0.0034568	0.012483	0.054888	0.050583	0.053965	0.10427	0.15418	0.20068	0.22064	0.22366	0.19397	0.17655	0.14377	0.058151	0.063306	0.032666	0.0084097	0.055362	0.016936	0.0018325	0.0091586	0.0090678	0.02704	0.01117	0.0019199	0.018116	0.0061412	0.010741	0.15944	0.30832	0.15858	0.22662	0.12689	0.072085	-0.14132	0.14038	-0.037968	0.038509	0.086549	0.13289	0.072572	0.080891	0.13929	0.12186	0.13825	0.13722	0.13989	0.13358	0.068038	0.030666	0.11719	-0.0088866	0.068865	0.13824	-0.091122	0.014159	0.13445	0.13345	0.092576	-0.10378	-0.094408	-0.14118	-0.073482	-0.12782	0.13085	0.21592	0.21035	0.31169	-0.036179	-0.010991	0.00014697	0.065531	1.765	535
0.0080648	0.074602	0.10398	0.058312	0.049633	0.069324	0.097084	0.049159	0.02837	0.037391	0.083496	0.03321	0.049085	0.060495	0.081262	0.13051	0.19725	0.24516	0.2875	0.29799	0.22758	0.1837	0.025634	0.018511	0.0092796	0.015178	0.012367	0.016479	0.0094247	0.011274	0.012549	0.0075232	0.026484	0.29799	0.16207	0.082211	-0.079857	0.039566	0.19472	0.28074	0.39952	0.54354	0.63174	0.29688	0.21061	0.70196	0.64331	0.71063	0.039836	0.038356	0.032696	0.026925	0.02374	0.026911	0.028455	0.0036073	0.019984	0.044894	0.014713	0.026034	0.014743	0.0435	0.073724	0.10463	0.13307	0.15353	0.16279	0.12256	0.09745	0.014228	0.0032808	0.0055746	0.008277	0.0076092	0.0090396	0.0029113	0.0038401	0.0062586	0.0028363	0.011115	0.2035	0.26681	0.20829	0.23113	0.13279	0.0085168	0.077356	0.11375	-0.086426	0.098904	0.046364	0.14053	0.13166	0.12432	0.076285	0.14131	-0.05217	-0.071356	0.069763	0.1411	0.11304	0.13271	0.10563	0.12236	0.14102	0.088118	-0.060202	-0.087729	0.10767	-0.0034754	-0.14068	0.10381	0.056394	-0.1247	0.017371	0.11012	0.31182	0.16931	0.28174	0.25205	0.089864	-0.012309	0.060043	0.033916	1.6753	623
0.0085543	0.076763	0.077268	0.10338	0.069179	0.082804	0.17617	0.20419	0.17911	0.10225	0.076773	0.12456	0.16306	0.14244	0.12797	0.15212	0.17599	0.1865	0.20881	0.20612	0.14226	0.11947	0.084892	0.008934	0.014121	0.025926	0.027642	0.013065	0.018643	0.012337	0.010313	0.010497	0.035211	0.20881	0.14615	0.064952	-0.081202	0.040566	0.17472	0.24943	0.35162	0.4747	0.55244	0.33594	0.32532	0.82559	0.94865	0.97484	0.049607	0.026314	0.02659	0.022167	0.043992	0.08081	0.096237	0.064678	0.049491	0.04075	0.069196	0.088445	0.079699	0.091201	0.082988	0.093836	0.098967	0.11086	0.10931	0.075493	0.063463	0.047209	0.0033106	0.005688	0.01383	0.011075	0.0055185	0.0087637	0.0068827	0.0057428	0.0017576	0.010728	0.26111	0.26684	0.25982	0.2642	0.082811	0.039961	-0.13698	0.11604	-0.12388	0.11205	0.14124	0.13863	-0.056755	0.14034	0.087096	0.1139	0.079579	-0.093989	0.10721	0.13466	0.14063	0.13997	0.14141	0.14065	0.13934	0.086013	-0.036266	-0.078025	0.13408	0.0085377	0.086791	-0.12965	0.082603	0.084606	0.023961	0.080718	0.045963	-0.047391	0.11465	0.036398	-0.030992	-0.044574	-0.0091262	-0.032829	1.99	446
0.010899	0.070315	0.15458	0.099867	0.091593	0.04775	0.14004	0.061548	0.099675	0.1145	0.12714	0.13393	0.1489	0.11433	0.16479	0.24549	0.2708	0.29188	0.27537	0.2208	0.19618	0.12627	0.1326	0.083122	0.029667	0.027748	0.024582	0.036809	0.022926	0.018614	0.013795	0.015384	0.0071541	0.29188	0.18092	0.087098	-0.093817	0.054456	0.20393	0.25904	0.32623	0.40011	0.45622	0.49219	0.10929	0.53058	0.75214	0.92428	0.05778	0.074811	0.013492	0.021051	0.034677	0.038133	0.046229	0.042752	0.051541	0.051407	0.087853	0.085431	0.06683	0.10081	0.12667	0.13729	0.14632	0.14366	0.11713	0.10289	0.060043	0.080114	0.068393	0.013924	0.01508	0.012506	0.0095395	0.010752	0.0068847	0.0095974	0.004071	0.0041795	0.26067	0.3003	0.24238	0.27133	-0.10332	0.05541	0.034268	-0.039989	-0.046812	0.07713	-0.10044	-0.13591	-0.1076	-0.14125	-0.044058	0.054605	-0.059291	0.00073117	0.13952	0.11459	0.05865	0.05111	0.11243	0.12106	0.084503	-0.1062	-0.10825	-0.078131	0.11167	0.06223	-0.060689	-0.080001	-0.12915	-0.093612	-0.076015	0.027341	-0.069904	-0.064973	-0.040821	-0.04513	-0.037077	-0.041914	-0.030912	-0.036427	1.8512	455
0.0065183	0.042992	0.11893	0.029647	0.04524	0.065391	0.084725	0.14088	0.051601	0.04692	0.089713	0.070098	0.1179	0.072665	0.14721	0.21038	0.19843	0.13315	0.12946	0.034317	0.0462	0.034996	0.015986	0.021026	0.0097561	0.012231	0.013386	0.0077089	0.013513	0.015585	0.0075205	0.025266	0.019822	0.21038	0.12947	0.068828	-0.060639	0.031524	0.16277	0.25677	0.39807	0.57857	0.64937	0.32031	0.16251	0.5279	0.35395	0.4092	0.02287	0.072246	0.015013	0.029334	0.033751	0.046697	0.082832	0.025773	0.020996	0.05038	0.0433	0.06845	0.03867	0.078404	0.11384	0.10526	0.070804	0.074272	0.028367	0.02202	0.014331	0.011967	0.0076399	0.0053059	0.006061	0.0066347	0.0011298	0.0062464	0.0077195	0.0010887	0.010234	0.0063266	0.21965	0.26127	0.22623	0.23816	0.13755	0.0060283	0.01328	-0.07789	-0.086569	0.095713	0.032433	0.1071	0.13755	0.075765	-0.0062619	0.043594	0.13706	0.1308	0.11669	0.14115	0.13798	0.05466	-0.12281	-0.041371	0.12294	-0.097378	0.14081	-0.13615	-0.023621	0.062945	0.093641	0.031149	-0.085504	0.03243	-0.066143	-0.10751	0.31998	0.20381	0.31197	0.27398	0.076479	0.01087	0.067219	0.04508	1.8122	322
